id,score_date,discount_arr_usd,team_plus,pro_plus,ent_plus,discount_arr_usd_percentage,product_counts_percentage,total_pool_max_agents
JMAN_2429072,2023-02-10,0.0,1.0,1.0,0.0,100.0,100.0,0.0
JMAN_9043466,2023-01-13,0.0,1.0,1.0,1.0,100.0,100.0,0.0
JMAN_2452556,2023-02-24,0.0,1.0,1.0,1.0,100.0,100.0,0.0
JMAN_2455113,2023-03-03,0.0,1.0,0.0,0.0,100.0,100.0,0.0
JMAN_18127937,2023-02-10,0.0,1.0,1.0,0.0,100.0,100.0,0.0
JMAN_2373631,2023-03-03,0.0,0.0,0.0,0.0,100.0,100.0,0.0
JMAN_2447279,2023-03-03,0.0,1.0,0.0,0.0,100.0,100.0,0.0
JMAN_9004478,2023-01-20,0.0,1.0,1.0,0.0,100.0,100.0,0.0
JMAN_2477864,2023-03-24,0.0,0.0,0.0,0.0,100.0,100.0,0.0
JMAN_2445629,2023-01-20,0.0,1.0,1.0,0.0,100.0,100.0,0.0
JMAN_9034877,2023-03-17,0.0,1.0,1.0,1.0,100.0,100.0,0.0
JMAN_14450264,2023-03-17,0.0,1.0,1.0,0.0,100.0,100.0,0.0
JMAN_18839586,2023-02-10,0.0,1.0,0.0,0.0,100.0,100.0,0.0
JMAN_12250851,2023-03-03,0.0,1.0,0.0,0.0,100.0,100.0,0.0
JMAN_9601250,2023-01-13,0.0,1.0,1.0,0.0,100.0,100.0,0.0
JMAN_9016831,2023-01-27,0.0,1.0,1.0,1.0,100.0,100.0,0.0
JMAN_18411228,2023-01-06,0.0,1.0,0.0,0.0,100.0,100.0,0.0
JMAN_10361494,2023-03-24,0.0,1.0,0.0,0.0,100.0,100.0,0.0
JMAN_18409952,2023-01-13,0.0,1.0,0.0,0.0,100.0,100.0,0.0
JMAN_2468132,2023-02-17,0.0,1.0,0.0,0.0,100.0,100.0,0.0
JMAN_9005782,2023-02-10,0.0,0.0,0.0,0.0,100.0,100.0,0.0
JMAN_9023427,2023-03-03,0.0,0.0,0.0,0.0,100.0,100.0,0.0
JMAN_9002816,2023-01-27,0.0,0.0,0.0,0.0,100.0,100.0,0.0
JMAN_18391384,2023-03-10,0.0,1.0,0.0,0.0,100.0,100.0,0.0
JMAN_9773302,2023-01-06,0.0,0.0,0.0,0.0,100.0,100.0,0.0
JMAN_13717602,2023-03-03,0.0,1.0,1.0,0.0,100.0,100.0,0.0
JMAN_2468379,2023-02-24,0.0,1.0,1.0,0.0,100.0,100.0,0.0
JMAN_2475116,2023-03-03,0.0,1.0,1.0,0.0,100.0,100.0,0.0
JMAN_11710046,2023-01-20,0.0,1.0,1.0,0.0,100.0,100.0,0.0
JMAN_11265556,2023-03-24,0.0,1.0,0.0,0.0,100.0,100.0,0.0
JMAN_9034116,2023-02-10,0.0,1.0,1.0,0.0,100.0,100.0,0.0
JMAN_9744797,2023-03-03,0.0,0.0,0.0,0.0,100.0,100.0,0.0
JMAN_2472023,2023-01-13,0.0,1.0,1.0,0.0,100.0,100.0,0.0
JMAN_2459144,2023-02-24,0.0,1.0,0.0,0.0,100.0,100.0,0.0
JMAN_9810546,2023-01-20,-2148.96,1.0,1.0,0.0,100.0,100.0,0.0
JMAN_2461321,2023-03-24,0.0,1.0,1.0,0.0,100.0,100.0,0.0
JMAN_10303029,2023-01-13,0.0,1.0,1.0,1.0,100.0,100.0,0.0
